,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Uzbekistan,0,56,617,0,77,1586,0,2233,0,0,26,12,6232,0,659,98933,634,0,32,0,0,39,242,98,3,4,0,2727,590,32,19,3,132,26,0,19516,0,20,21,0,0,0,9,21,0,36127,0,2,301,304,616,0,43,2002,0,0,1632,0,46,0,0,0,22,0,0,4,0,65,62,89,156,6803,0,0,4,0,0,113,0,0,7,0,100,352,0,770,0,0,0,8,3,119,5,0,3,0,0,372,0,0,0,0,92,2,46,0,0,0,88,67,3,1110,0,15,0,0,0,0,0,8,0,0,30,603,56,0,782,14,4,151,530,0,0,0,0,21,0,29,0,0,102,0,0,1144,0,237,0,0,4,37,92,932,0,0,7,0,0,324,0,30,11,0,0,0,20,7436,1192,47,0,0,0,0,0,0,0,1005,39,39,0,0,909,0,11,0,23,0,0,8,0,1055,0,0,0,0,0,0,2,4,63,71,0,0,0,0,0,30,0,0,20,1,0,32,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Solomon Islands,0,1241,0,0,0,6,0,0,0,332,0,0,1,0,3,0,1,0,38,0,0,0,0,0,0,0,1031,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10041,0,0,0,9,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,658,0,0,131,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,8,529,5443,14,9830,11212,2071,50047,0,0,4555,803,12319,2,277,2350,1121,0,513,0,35,964,76533,15,2894,143,0,13175,60883,348,659,50,21661,98,7,15208,6,758,149,0,286,2719,41,1753,3,2,0,43535,270552,2688,1047,0,2903,800,0,0,57237,4,2430,0,0,167,0,0,3,713,971,28,62,175,8244,55,45,0,0,0,14,30650,124,82,431,186,48392,6552,0,634,0,5,0,132,741,577,0,0,0,0,27,240,14,0,0,0,29,0,9692,0,0,0,10,1091,6,45,422,47,15,0,6,0,0,34,3,0,172,3569,703,6,607,793,0,66,5,263,9,1662,1330,1859,3,105,0,53,98,0,267,43,0,1818,175,524,19,0,298,73,0,263,85,0,3352,3982,78,117,4,0,0,0,51,235,527,258,286,0,0,0,0,34,0,204,2572,9116,0,123,42,0,38,0,1855,0,11455,0,0,0,0,0,0,0,128,0,155,344,64,33,0,0,0,11,0,4149,0,319,42,1442,0,88,0,0,61,0,0,0,46,0,0,0,0,36,0,0,0,0,0,0
France,2723,10653,17992,13,152247,226691,40035,159268,31,0,41119,15750,39963,1120,8018,44099,14552,5,8857,0,3322,2704,374203,1358,16210,1623,0,8046,396451,35910,2248,9882,116163,8762,5095,61871,533,5060,303,22,996,2702,9643,25564,8205,466,0,265839,1527393,31471,39436,0,22682,25410,445,53,351871,178,5688,7124,0,970,639,0,1292,2107,3298,94,4943,2778,46024,1489,3323,6537,0,0,200,57395,6693,7869,3485,1191,50892,42204,54,5783,1673,286,26,11008,2556,34685,3,584,1359,0,1837,2766,851,137,0,0,18072,190,222076,0,0,69,27978,1561,13469,595,3088,90,4760,66556,69,209,21,4400,1327,633,15934,46426,12680,134,88982,11075,276,1205,71,342,121,3083,9982,49591,37,21050,1127,2669,13537,464,349,1634,0,38716,274,998,856,1835,31234,4399,0,10874,3725,102,32118,50407,62,1070,3126,729,16710,0,3043,18382,10503,5985,3185,33,24,44,76,9229,0,2084,2824,112346,0,2104,141,3948,432,73,23404,0,2054,1924,58939,598,180,0,0,66,0,0,13867,4732,8035,1154,370,0,0,1515,0,3407,0,2573,2098,11103,17069,6612,0,12,31861,3,1,0,7818,175,144,0,8,41164,1096,231,40,5656,0,0
Sweden,0,2689,3296,790,302,37098,2701,78260,13,0,52175,3509,8228,41,1588,9445,1458,0,1837,0,94,480,94165,484,82,714,0,593,83815,4497,237,1130,27960,2584,198,12668,74,787,383,18,5,6,1056,52005,2901,205,0,2571,32675,517500,1776,7,5985,5351,48,0,20181,7,98,9,0,0,99,8,0,8,0,0,548,985,3253,302,39,1203,0,0,92,24704,1892,2291,22,19,12887,18435,17,928,55,337,2,1498,17,7922,350,11,17,0,388,1127,148,97,0,0,949,206,9337,0,0,0,1532,74,1119,197,76,28,264,49,134,7,3,450,154,130,10340,2704,1433,73,34412,66,127,5046,147,671,56,49,0,6837,21,3189,2,5914,1506,0,0,594,0,9243,0,36,257,113,13930,355,0,3699,1457,0,172,59015,13,1246,186,0,0,0,7166,474,4808,100,19,22,103,2,20,739,0,6370,328,922,0,409,0,0,555,0,50932,0,1,277,27,61,0,0,0,1,0,0,2402,562,4829,1526,112,0,0,162,0,263,4,31,353,1288,0,536,0,0,1786,0,5,0,7851,4,98,0,2,8,11,0,23,122,0,0
Japan,763,92300,2664,10,273,393608,672,44392,0,0,3219,1754,29488,4,54815,16007,223220,10,119662,0,177,45,10734,386,42,236,165,502,27029,9822,33,88,7799,5104,130,7957,23,98,37,12,6,5,238,1387,232,791,16,1020,38786,2053,5967828,0,301,19703,11,1,35567,53,67,24,9,18,71,1,0,4,1,6,16383,183,27544,159,6411,484,1,0,10,12999,129,317,0,17,3317,5414,2,54865,949,13,1431,62,5,100,3,2,84,0,69,177,6,4,0,32,618,2050,436,0,0,4643,341,24,294,36,31,4,8174,1,15,59,1,16,4458,8,129,982,19,7,219784,38,2,298,8,0,2,16,5,368,16,99146,5914,90,61,1,0,34,0,1034,7,22,23,4,305,219,0,1,126,957,21,2327,0,601,10,3,0,0,240,390489,127,410845,47,5,7,16,0,2273,0,203,11716,263,0,9,0,0,30,0,14587,15,0,23,1,27,0,0,40,3,3,0,414,166554,276,6,106,0,0,140,50,54,0,3,21,52,0,77430,0,0,19,0,0,0,99,0,84,0,2658,7,0,0,20,10,0,0
Greenland,0,0,0,0,0,0,0,1,0,0,3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,542,0,0,0,0,7,0,24487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,2535,4891,0,193,10828,876,82681,0,0,6599,1098,7482,35,856,8585,1783,0,1684,0,41,256,21832,53,72,88,2,1136,60139,243,101,187,17778,384,328,18560,47,3890,9,16,11,18,461,2165,199,52,2,2964,22893,5974,294,0,457588,2937,7,0,56389,0,272,10,0,8,23,0,14,0,19,0,74,50454,1876,143,90,156,0,0,24,20779,196,299,9,7,15579,20778,0,623,8,1,0,232,0,12629,0,0,10,0,24,1069,17,26,0,0,344,0,3983,0,0,50,83,343,55,95,27,0,28,0,39,0,2,106,38,0,3606,18276,3086,14,1714,38,4,268,108,34,8,8,13,2132,3,551,0,156,9594,4,0,154,0,3621,0,0,35,3064,11823,4031,0,20,932,1,142,11007,0,366,325,0,0,0,267,407,7086,170,17,0,30,2,0,316,0,467,4407,208,0,4069,0,0,78,0,1308,0,0,351,0,101,0,0,0,2,25,0,3799,273,502,185,3,0,0,1,0,551,0,105,399,669,0,1788,0,0,177,0,4,0,506,0,30,0,0,4,0,0,0,19,0,0
India,1,84434,8252,363,609,231343,3515,41614,84,0,6080,10983,503984,83,28888,22104,8366,2,10143,0,91,5012,16300,3741,837,3495,0,232498,172437,1859,1868,375,9836,70594,695,17419,162,4146,2629,156,84,210,815,3316,362,1846,1,763,28649,5689,19143,0,2923,10313467,28,30,11915,3,93823,302,0,11,268,0,54,92,751,27,16560,2170,93839,3211,7222,203,94,0,1011,12263,10724,432,168,402,5248,6682,31,81987,316,83,541,4600,223,1721,87,671,75,0,122,201,37,37,12,0,74,244,3896,0,0,658,161,35118,316,2542,367,1014,2909,0,3248,18,53,1354,32383,16,653,8868,957,632,144017,258,8,7294,12995,60,34,112,226,7538,1252,18337,1,251,1012,4,8,303,0,3064,28,156,427,19,1893,2965,6044,3,340,492,510,3893,212,42001,67,3,0,0,350,5996,4147,5081,417,0,70,67,0,22921,0,636,90297,647,0,112,363,5,5533,0,3379,0,17,1750,0,626,0,0,0,27,89,0,671,10577,417,36,19,0,0,69,0,85761,30,274,105,614,0,102316,0,0,10470,18,23,0,126,0,51,0,0,330,0,0,6,65,0,0
Paraguay,0,57,0,0,0,4325,9421,1519,0,0,20,180,28,195,0,19,2,0,0,0,121,0,4138,0,0,5,0,3,225,1571,4,2905,197,0,876,89,0,0,0,0,0,0,10224,0,0,0,0,0,290,5,16,0,0,41,2171,0,75,8,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,1604,0,0,0,104,0,3580,0,0,87,72,6,0,0,2112,0,0,0,21,0,0,31,0,356,0,2546,170,0,0,165,0,110,0,0,0,568,0,232,0,0,0,0,0,0,15,0,0,0,7,0,137,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,4,0,0,0,5,0,0,22,0,5,0,5,0,0,11,32,4,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Guyana,0,0,0,0,0,12824,145,10,1455,0,4,19,11,72,0,4,0,0,29,0,3,0,8,0,0,34,0,0,1053,116,0,254,4,0,1275,3,0,0,0,0,0,0,17,0,0,0,0,0,28,0,0,0,0,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,2064,0,0,56,0,0,0,42,0,16,0,0,7,0,204,0,0,6,0,0,0,7,0,0,52,0,30,1,0,0,0,0,599,0,4,0,0,0,578,0,38,0,0,0,0,43,0,57,0,0,0,36,0,0,0,0,1,0,1817,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,417,0,0,0,0,0,0,0,133,84,43,71,0,0,16,0,0,0,0,0,0,0,235,10,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,16,0,0,391,0,0,0,0,0,0,0,2,0,0,0,0,64,0,5,0,4232,0,0,0,0,0,195,85,0,0
Italy,168,2762,32138,43,5766,78753,18987,407870,29,0,38985,1939,62296,881,1071,79805,14243,0,1803,0,175,1376,476130,2442,285,3590,2,4855,459452,3308,604,558,74922,841,271,56238,150,10704,92,10,7,170,8554,9409,224,949,0,55435,350862,20147,33208,0,56020,11716,87,1,1834542,51,8577,333,0,63,77,1,6,71,42,153,360,2999,1144,852,695,1303,2,0,41,138078,4493,2478,89,364,127242,59027,15,858,136,193,4,5068,258,119273,145,189,116,0,617,1049,167,453,0,0,5613,19,85844,0,0,23,5547,191,453,109,165,3,366,3200,20,8,1,682,67,102,8782,40758,4555,18,9741,96,157,908,358,272,37,235,138,47295,46,2581,30,1037,25947,156,16,2560,1,48351,93,405,65,8146,60227,11637,4,2236,2364,110,3932,101467,1,715,19672,1,47,0,2973,21804,15349,5181,250,23,761,84,0,9722,0,8531,33749,12816,0,27412,1011,28,92,5,12174,0,581,3272,119,732,0,0,0,56,0,0,43985,5478,14894,4061,20,0,0,1449,0,2774,1,46,31,14291,0,9091,0,10,1806,0,43,0,5496,2,104,0,8,91,14,0,0,265,0,0
Honduras,0,5,0,0,0,34719.00018,221.00004,299.00001,5,0,4,20,21,20,0,7,0,0,15,0,5401.99946,4,3825.99992,0,0,0,0,3,262.99999,2273.00094,1,1700.00012,57,0,2958.99953,8,0,0,0,0,0,0,222.99997,9,0,0,0,3,637.00034,21,80,0,79.99994,19.99998,0,4,72.00006,24226.00013,0,0,0,0,0,0,0,0,0,0,4,0,6075.00056,0,0,315.99992,0,0,0,153,6,99.99997,0,4,78,261.00003,0,4,0,54.99998,0,0,0,0,0,0,57,0,261.99999,0,48.99999,21,0,0,309.00001,0,13,0,0,0,582.99998,0,4888.00077,0,0,0,0,0,0,437.00003,0,0,0,1153.99997,0,88,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,73,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,150,0,0,0,67,0,14,0,0,47,437.00032,0,0,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,47,0,0,0,1,0,0,2595.00017,0,0,198,0,0,0,0,0,0,0,8,0,0,0,0,33,0,0,0,98,0,0,0,0,0,0,14,0,0
Oman,0,969,6989,166,289,1345,59,3374,0,0,398,352,46598,6,1635,516,167,0,3870,0,0,657,892,6112,17,278,0,14224,6396,28,96,35,1559,2868,4,5281,9,2339,2371,15,56,20,6,133,17,40,0,2181,5229,209,74,0,206,98717,0,0,8170,0,56798,2,0,0,26,0,17,5,0,0,136,101,380,47,24,8,8,0,19,1439,377,21,0,4,320,583,0,3495,6,0,0,1847,0,135,21,29,0,0,8,19589,0,0,0,0,43,0,154,0,0,0,1,5605,3,833,2,12,19,0,9,0,0,11,1923,0,97,3,1389,18,9915,13,0,649,294,11,123,14,6,162,38,398,0,155,59,0,0,249,0,422,0,105,302,51,337,298,0,0,96,10,22,1667,0,20641,0,0,0,0,40,59,272,18,3,0,4,0,0,468,0,14,18342,703,0,32,61,0,1023,0,62,0,0,140,0,139,0,0,0,0,0,0,23,16,59,0,0,0,0,0,0,4056,0,3,23,34,0,63,0,0,52,0,0,0,9,0,7,0,0,4,0,0,0,0,0,0
Madagascar,0,37,59,0,7,277,22,282,0,0,28,1016,265,0,2,63,171,0,9,0,0,0,123,0,12,693,0,98,196,0,6,0,297,58,0,60,4,13,19,4,0,0,27,74,0,0,0,0,6646,16,15,0,30,453,0,0,343,0,2,27360,0,0,0,0,844,0,0,0,0,3,150,0,0,0,0,0,64,75,356,0,4,0,35,73,0,4,0,0,0,67,5,12,0,0,0,0,0,206,0,0,0,0,0,0,18,0,0,0,67,2,0,0,21,58,6,0,26,0,0,27,8,0,0,42,8,21,113,13,0,0,0,0,4,0,0,29,10,5,0,0,0,0,0,2,0,16,0,0,40,0,11,0,0,0,63,0,48,18,0,7,0,0,0,0,1,18,0,1,0,0,0,0,0,0,0,24,67,42,0,0,0,1654,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,56,0,0,0,19,0,7,0,0,3323,0,0,0,0,0,0,0,0,6009,0,0,0,21,0,0
Marshall Islands,0,13,0,0,0,933,0,0,0,465,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,3981,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,5,0,1,190,0,6,0,0,0,17,20,0,1,23,0,0,0,0,0,3,15,0,29,54,0,0,37,0,8,0,35,10,0,1,0,0,10,0,51,0,0,0,0,0,0,715,475,0,0,0,4,27,0,0,9,0,0,2,0,0,0,0,0,12,3,0,0,0,16,0,0,0,0,0,0,63,103,0,62,3,8,1,0,0,0,0,0,4,30,1,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,29,0,0,0,2,0,0,0,6,0,0,3,44,2,2,2565,0,0,0,0,0,6,32,0,1,0,0,7,0,0,0,0,0,8,5,0,7,0,1,0,0,0,1,0,41,18,0,14,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,4,4,0,0,0,0,830,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,6,86,1470,4,205,3,1104,0,0,10,80,1076,0,0,14,72,0,42,835,0,0,125,9,0,3845,0,33,235,0,0,0,20,45,0,386,0,37,26,11,0,0,0,14,0,46,0,16,777,161,41,0,16,201,0,0,49,0,11,0,0,0,0,0,0,0,2,0,3,0,146,70,3,0,0,0,0,38,429,0,0,0,69,27,0,10,0,0,0,53,0,5,2,25,0,0,0,19,0,0,0,0,0,0,24,0,0,0,0,13,0,0,0,0,9,0,4,0,0,0,10,0,20,11,35,6,34,0,0,34,52,0,0,0,5,2,0,0,0,0,8,0,0,0,0,2,0,0,30,0,9,18,0,0,0,0,0,6,0,3,0,0,0,0,0,5,8,4,0,0,0,0,0,0,0,0,502,14,0,0,0,0,51,0,12,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,125,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,177,2075,0,0,0,481,0,48,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,76,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,29,2,0,0,0,0,0,0,0,0,0,0,0,0,3944,0,0,0,0,7512,0,532,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,65,0,0,0,0,0,0,0,0,46,252,0,0,0,2,0,4,0,0,0,0,0,0,87,0,8,10,0,0,0,32,12,0,3,0,0,2,0,0,0,0,0,0,0,0,3,779,0,0,0,9,40,0,0,1,0,22,851,0,0,0,0,4924,0,0,0,0,0,4,0,0,3,0,0,0,0,271,0,0,0,5,9,0,2,0,0,0,1112,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0
Niger,0,2,103,0,721,381,7,666,0,0,10,60,279,0,36,16,48,0,0,0,0,171,114,0,1198,272,0,151,270,0,175,0,191,0,0,369,0,58,10,0,85,0,0,46,0,0,0,397,2225,9,7,0,0,132,0,0,80,0,3,0,0,6,0,0,0,1037,36,5429,0,0,97,0,0,0,0,0,0,8,136,0,9,0,105,33,0,0,0,0,0,23,2115,18,0,0,0,0,0,7,0,0,0,0,0,0,37,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,5,49,0,8,86,0,0,0,5,0,7,1388,0,0,0,0,0,13,0,9,0,0,0,0,7,29,0,7,0,0,0,0,0,787,3,5,5,3,0,0,0,0,0,3,0,401,0,0,0,0,0,0,0,22,898,0,0,0,0,51,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1224,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,4,106,0,34,311,10,74,0,0,7,1459,528,0,84,35,52,0,107,0,0,350,81,0,485,166,0,7,472,0,103,27,74,0,0,233,0,0,0,0,86,17,0,0,0,0,0,874,3793,6,0,0,26,1233,0,0,89,0,0,0,0,9,0,0,0,75,11470,0,0,4,119,0,0,0,0,0,0,107,83,0,850,0,43,48,0,117,0,0,0,3,63,18,0,12,0,0,0,9,0,0,0,0,0,0,50,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,1,0,0,4,282,0,26,5219,0,0,0,1,0,8,350,2,0,3,0,0,0,0,0,0,0,0,1266,0,140,0,0,0,0,0,28,0,586,62,0,0,0,0,0,0,0,4,30,0,3404,0,0,0,0,0,0,8,10,385,0,0,0,0,18,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,0,0,1225,0,43,0,11,0,0,7,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0
Libya,0,0,6807,0,57,46,0,8,0,0,0,0,44,0,19,0,0,0,0,0,0,0,17,119,0,0,0,7203,1,0,0,0,4,0,0,11886,0,2528,1511,1,0,18,0,0,0,0,0,22,113,0,0,0,0,32,0,0,63,0,10,0,0,0,0,0,0,5314,0,3245,0,44,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,27640,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,42,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,3742,248790,139,7,2,36694,1585,5613,0,15,1867,2907,2167,0,9420,483,18426,7040,4865,0,49,35,730,22,12,27,350,75,22573,915,51,167,2185,661,90,236,58,72,10,0,0,0,1492,573,9,8,132,44,3955,642,10753,0,51,9568,6,0,486,0,69,0,0,0,0,8037,0,0,0,0,974505,37,9936,5,129,259,0,0,0,2395,52,1880,0,6,766,339,3,2760,43,19,14448,52,4,73,5,0,6,0,19,275,156,0,7,1839,10,10,175,0,0,31,3,31,93,43,0,6,430,0,14,19,2,12,222,0,35,387,17,40,5154,0,7,66,10,3,0,0,0,1388,0,1713,2604,0,27,0,0,2,0,474,2,0,5,0,169,8,1,0,27,83,8,308,0,94,8,0,0,0,29,10123,49,6117,0,0,3,5,0,60,0,32,359,0,0,4,0,0,7,0,254,4328,0,0,28,0,0,0,0,3,2,0,35,8398,31,7,9,0,471,21,0,49,0,0,0,7,0,12448,0,1,34,0,2,178,6,0,21,0,0,0,0,0,8,0,0,0
Cyprus,0,429,1134,5,207,969,51,8920,0,0,902,357,2437,0,90,13282,256,0,546,0,0,399,1801,413,24,22,0,485,49626,22,32,4,3034,657,4,102276,0,2122,24,6,0,0,25,1095,10,71,0,158,2480,1284,78,0,49859,1191,0,0,2801,0,73,0,0,0,0,0,0,0,2,49,30,0,134,284,11,0,0,0,6,2503,76,4,0,3,2542,4871,1,138,0,0,0,5,0,6254,0,106,2,0,8,344,0,0,0,0,5,0,348,0,0,0,5,149,0,160,88,3,0,0,34,0,0,18,438,0,2060,17174,6184,55,483,73,0,271,22,6,0,0,0,812,0,195,0,107,4307,0,0,639,6,639,0,11,21,1452,4224,1826,0,0,172,3,0,7637,0,189,1461,0,0,0,1522,93,8385,49,0,1,3,0,0,58,0,1225,359,55,0,134,10,0,14,0,261,0,0,128,0,141,0,0,0,0,0,0,3141,79,2738,158,0,0,0,0,0,371,0,0,40,131,0,86,0,0,11,0,0,0,1443,0,1,0,0,0,0,0,0,0,0,0
